package_id,county_count,record_count
cvnjif3puid000a5iu60,2,2
cvqjvi1ggil000eiih50,2,2
d04hokhn485g00bs2ho0,2,2
d0jsla6jsr2g00bobgc0,2,2
d07ps6ss3cjg008gs2v0,2,2
cvvbokqgb1c0009t5j3g,2,2
d2t3543ubco000akusdg,2,2
cvvvcnt27ee000ffqln0,2,2
cvveh1qdvnk00091cmvg,2,2
cvqjo7ss3cjg00dnq0m0,2,2
d5lm2vulkkgg00beqoag,2,2
cvnk0u6r7j8g008mfqsg,2,2
d04hv2hn485g00bs2ia0,2,2
cvne0hh0p0eg00e6b8f0,2,2
cvqjuu4s10rg00evggi0,2,2
cvvsu68sssgg00dpmnrg,2,2
cvqjvn6gi0og00fg32sg,2,2
d04hn11ggil00095dbd0,2,2
cvvu5r6jsr2g0094fgmg,2,2
d03dqfegi0og009lqkqg,2,2
cvqk32cs3cjg00dnq460,2,2
cvvs4adpebk000cie61g,2,2
cvnirldpebk000bcm1bg,2,2
cvnjmmagb1c0008tvt5g,2,2
d05v9jn9vfn000em8mc0,2,2
cvne19kaa58000bbgqjg,2,2
cvradqsmmp3000fkf2eg,2,2
cvvso61ggil000fi1lq0,2,2
cvnj9g10p0eg00e6bm80,2,2
d04hof79vfn000ekkug0,2,2
d004g7eomc2g00dg7ds0,2,2
cvvejhlpebk000cbthig,2,2
d03dqb0b12i0009fvfq0,2,2
d03e0hur7j8g00b2iam0,2,2
cvvsi5kclak000atd9l0,2,2
cvv7p20sssgg00dj4840,2,2
cvvvaj6gi0og008fjjl0,2,2
d0362d2dvnk000acg32g,2,2
cvqk2jdu3ph000ap7meg,2,2
d10dvgnl1m5000c42pi0,2,2
cv2bbjt62kq000bnetvg,2,2
d07pqsp0qf8g00aa7c70,2,2
d31mhlcjak9000au8gkg,2,2
cvvsia7mrfo000b5clv0,2,2
cvnirsejsr2g00fumpgg,2,2
cv9j1ilf9qc000f8op50,2,2
cvume46jsr2g008tr6c0,2,2
cohcjqmi5iag00a0550g,2,2
cvnjhv90p0eg00e6bn50,2,2
cvvcmuf9vfn000cqn1ig,2,2
cvvegoeo773g009nbaog,2,2
cvvbmkh0qf8g008a42vg,2,2
cvm3n1fvkbog00e0a350,2,2
d0554uf9vfn000ekp9b0,2,2
