package_id,distinct_documents,record_count
cvv7oh6r7j8g009lm56g,2,2
cvv7qgks3cjg00ego160,2,2
cvi5is69pj7000arj2k0,2,2
d1ngngv6ldd000f7s26g,2,2
d04lmg2dvnk000areavg,2,2
cvniroc72f3g0096j3lg,2,2
cvndqhsbkkeg00fof250,2,2
d1it670drma000ce6ibg,2,2
d05vkr5lhp0g009omoug,2,2
cvumd2cmmp300089hf7g,2,2
d5sv3u8j0mbg00dr2up0,2,2
cvveg4f9vfn000cqn9fg,2,2
cvvejhlpebk000cbthig,2,2
d5komarmftcg00ei5c2g,2,2
d5pcb2ui8kjg00c3uhsg,2,2
d07pp1uo773g00bnet0g,2,2
cvvef2ur7j8g009lno30,2,2
cvm3qrj4giqg00emqia0,2,2
cvvbkmagb1c0009t5ipg,2,2
cvvbq2t27ee000f984a0,2,2
d07ppa10qf8g00aa78kg,2,2
d0jslmmomc2g0081g4tg,2,2
d00i65uomc2g00dk46jg,2,2
cvnirp5pebk000bcm1cg,2,2
d5i3j4mlkkgg00begl50,2,2
cvvbr6ks10rg00fofhbg,2,2
cvnj9hkmmp3000faah9g,2,2
cvvbqomjsr2g008tsvr0,2,2
cvvef36jsr2g008ttnog,2,2
cvvs5tnmrfo000b5cj10,2,2
d07pskllhp0g009t7sug,2,2
cvnjh0p0qf8g00favr90,2,2
cvnj6ff9vfn000brgnqg,2,2
d07pp82o7i8g00arn0g0,2,2
d05uudl27ee00094ruug,2,2
cvnipevk2lrg00c7oi20,2,2
cve7ep1u4pg0008fr510,2,2
cvvs8ntaar4g00e6srb0,2,2
cvvrt6smmp30008g4kg0,2,2
d004f9qdvnk0009afqvg,2,2
cvvej0d27ee000f98t00,2,2
cvndsugh3d7g00bkfri0,2,2
cvu205mr7j8g009gm5s0,2,2
d00lnj4aa58000cnmgk0,2,2
cvvs5cl27ee000ffpk8g,2,2
cvvbprp0qf8g008a4390,2,2
cvo0b7f9vfn000bt017g,2,2
cvvsgl79vfn000d17ss0,2,2
cvnjk5rpp0p000eijaig,2,2
cv1152548bhg00evpjl0,2,2
d07q0brkf5cg00dhg2pg,2,2
cvvv5jadvnk00097tubg,2,2
d07s70lpebk000ec3ra0,2,2
cvvsap3pp0p000foa2ig,2,2
cvnjvn6gi0og00f9r890,2,2
cvumdkqgb1c0009t3o40,2,2
cvvs134s3cjg00ena0ag,2,2
cvumc9mo773g009n8o20,2,2
cvnis8p0p0eg00e6bk1g,2,2
cvvbo1s72f3g00a5qdpg,2,2
d07prj5pebk000ec33ag,2,2
cve7a5k3tni000faj1ng,2,2
d05v9bdu3ph000ddt0ig,2,2
d5i3j1fi154000cksm9g,2,2
d4pnjlmi8kjg00bv5hl0,2,2
cvvbm3ejsr2g008tsvd0,2,2
d004bkcs3cjg00epri60,2,2
d05uud9ggil0009713pg,2,2
d07q2ngh3d7g00ejtatg,2,2
d07q0c6omc2g00f76vm0,2,2
d4pnjjf8t2j000frs84g,2,2
cvnet4pkaks000as181g,2,2
cvvef5advnk00091cmpg,2,2
cvvsokmr7j8g009s8tog,2,2
cvvs8jjpp0p000foa220,2,2
cvvsjc5u3ph000boogq0,2,2
cvvu61er7j8g009s9i4g,2,2
d620fedsdh8000a13dog,2,2
d5umbqdsdh8000a0pncg,2,2
cvumfucmmp300089hff0,2,2
cvvbqq8sssgg00dj53bg,2,2
d07q09527ee00099d5tg,2,2
cvume38h3d7g00cjm1mg,2,2
cvvrr34s3cjg00en9rq0,2,2
cvnj27527ee000e9vqkg,2,2
cvvrrehggil000fi14tg,2,2
d5fft368nps0009gr2og,2,2
cvnja16o773g008o32ig,2,2
cvvbqomr7j8g009ln170,2,2
cvumfktaar4g00e09jp0,2,2
d040o96r7j8g00batb9g,2,2
cvvrrtss10rg00fv10fg,2,2
cvnis9f9vfn000brgmbg,2,2
cvvbp1llhp0g00ft4qt0,2,2
d4pnjinikk0g009rmhfg,2,2
d1133jveh7o000bmp37g,2,2
cvvsa5qgb1c000a3mon0,2,2
d5dfuj6i2fk000adkssg,2,2
cvvs70laar4g00e6sqig,2,2
cvi5uos9b4h000f84l9g,2,2
d5i49rei2fk000ae0mhg,2,2
cvnjhq10qf8g00favrbg,2,2
cvvse4s1fmq000c5nfog,2,2
d5pk2melkkgg00bf1d4g,2,2
d0sfb9mqdhp0008fur30,2,2
cvvvbiv9vfn000d18q9g,2,2
cvvegq6gi0og00891sb0,2,2
d32bhj4fsebg00ekovp0,2,2
d5g5hd6i2fk000aduu50,2,2
cu40lblolnf000c9dr70,2,2
cvnk0uh0p0eg00e6bor0,2,2
d5i3j46i2fk000ae0lpg,2,2
cvumdticalk000dvqdug,2,2
cvvs8csmmp30008g4uig,2,2
cvvsaalaar4g00e6srq0,2,2
d0559h0sssgg00fdau30,2,2
cvvsigp0qf8g008gl2vg,2,2
d07pvikmmp3000a9p8h0,2,2
d07q0bbpp0p0009huq50,2,2
cvvef0du3ph000bi7rq0,2,2
d05vo5ejsr2g00aph9hg,2,2
d4pnjrui2fk000a9cun0,2,2
cvvefubpp0p000fhpmi0,2,2
cvniteob12i000f40r4g,2,2
d07pp1hggil0009bhun0,2,2
cvnj84saa58000bbh3bg,2,2
d0jslkrkf5cg00ebpbcg,2,2
cvvsi8lpebk000cie9sg,2,2
cvnisq4mmp3000faafig,2,2
cvm3n1o9dj0g00f67t9g,2,2
cvnism6r7j8g008mfnh0,2,2
cvvu45io7i8g00920h90,2,2
cvv7ogdu3ph000bi68p0,2,2
d04kpbadvnk000are0u0,2,2
cvvbm7momc2g00d72o3g,2,2
cvkplam0ral000adsc1g,2,2
cvnj00bpp0p000eij7vg,2,2
d05v9rn9vfn000em8mcg,2,2
cvo0dad27ee000ebf7ag,2,2
d5dfujui8kjg00c354v0,2,2
d4pnjjp7bgd000cgakg0,2,2
cvvrqikmmp30008g4ji0,2,2
cvvs6qv9vfn000d17qtg,2,2
d07pvuk72f3g00c5vjjg,2,2
cvvshts72f3g00acbjtg,2,2
cvv7qbtu3ph000bi6an0,2,2
cvvbr3kaa58000cal76g,2,2
cvnjlu6r7j8g008mfq00,2,2
cvvegmicalk000dvsvo0,2,2
cvvbpd6jsr2g008tsvl0,2,2
d5pk2ngrovqg0084jd2g,2,2
cvnjhoio7i8g00fs5n70,2,2
cmtvbfoim8r000fjiosg,2,2
d07q06cs10rg009okcs0,2,2
cvveg24s10rg00fog8m0,2,2
cvvbr3cclak000amrm20,2,2
cvvbpfk1fmq000bv5veg,2,2
cvumfulpebk000cbr2ng,2,2
cvvse8lpebk000cie9eg,2,2
d07prrmqdhp000fehpdg,2,2
cvveitvmrfo000auselg,2,2
d0sfbhn9vfn000fs56jg,2,2
cvvso61ggil000fi1lq0,2,2
d5rb6cvi154000cld7n0,2,2
cvvegntu3ph000bi7s00,2,2
d4pnjhui2fk000a9cukg,2,2
d5ulum5sdh8000a0pmng,2,2
d620q8urgi50008muhvg,2,2
ctvdp3dhhil0008dhlpg,2,2
d620fdu8shlg009h2ueg,2,2
d07pvg3kf5cg00dhg2c0,2,2
cvo0sg2o7i8g00ftl4h0,2,2
cvv7oj4s10rg00foekg0,2,2
cvvef64clak000amsdjg,2,2
