state_name,created_month,mappings_created,later_revised
Montana,2023-10-01,23,20
California,2023-10-01,22,2
West Virginia,2023-09-01,4700,297
Texas,2023-09-01,3843,73
Oklahoma,2023-09-01,2089,38
Pennsylvania,2023-09-01,2008,164
Ohio,2023-09-01,1682,42
Wyoming,2023-09-01,1104,29
North Dakota,2023-09-01,898,7
Louisiana,2023-09-01,546,42
Colorado,2023-09-01,473,11
Montana,2023-09-01,302,44
New Mexico,2023-09-01,276,7
Kansas,2023-09-01,194,18
Arkansas,2023-09-01,135,17
Michigan,2023-09-01,88,9
Utah,2023-09-01,36,12
Mississippi,2023-09-01,11,0
West Virginia,2023-08-01,6794,249
Texas,2023-08-01,4186,135
Oklahoma,2023-08-01,3088,79
Ohio,2023-08-01,2515,43
Pennsylvania,2023-08-01,2158,44
Wyoming,2023-08-01,1041,28
North Dakota,2023-08-01,972,39
Colorado,2023-08-01,941,83
Louisiana,2023-08-01,465,78
Kansas,2023-08-01,455,35
New Mexico,2023-08-01,318,11
Montana,2023-08-01,196,66
Arkansas,2023-08-01,87,13
Utah,2023-08-01,78,0
Mississippi,2023-08-01,44,1
California,2023-08-01,19,19
Michigan,2023-08-01,15,0
West Virginia,2023-07-01,9589,746
Ohio,2023-07-01,4121,152
Texas,2023-07-01,3667,256
Mississippi,2023-07-01,3118,97
Pennsylvania,2023-07-01,3019,114
Oklahoma,2023-07-01,1540,233
Wyoming,2023-07-01,1076,87
Louisiana,2023-07-01,913,26
Colorado,2023-07-01,835,219
North Dakota,2023-07-01,800,15
New Mexico,2023-07-01,417,4
Kansas,2023-07-01,388,55
Montana,2023-07-01,369,46
California,2023-07-01,234,114
Arkansas,2023-07-01,210,3
Michigan,2023-07-01,91,1
Utah,2023-07-01,61,0
Texas,2023-06-01,3956,153
West Virginia,2023-06-01,2461,146
Pennsylvania,2023-06-01,2130,38
Oklahoma,2023-06-01,1923,178
Ohio,2023-06-01,789,118
North Dakota,2023-06-01,750,9
Wyoming,2023-06-01,716,26
New Mexico,2023-06-01,509,55
California,2023-06-01,483,203
Colorado,2023-06-01,327,11
Arkansas,2023-06-01,220,11
Louisiana,2023-06-01,154,10
Kansas,2023-06-01,109,40
Montana,2023-06-01,101,57
Michigan,2023-06-01,38,29
Mississippi,2023-06-01,19,19
Texas,2023-05-01,4313,90
West Virginia,2023-05-01,3054,228
Oklahoma,2023-05-01,2372,32
New Mexico,2023-05-01,1810,77
Ohio,2023-05-01,1302,44
North Dakota,2023-05-01,1195,15
Louisiana,2023-05-01,735,28
Pennsylvania,2023-05-01,659,11
Arkansas,2023-05-01,624,6
Colorado,2023-05-01,426,19
Kansas,2023-05-01,412,34
Wyoming,2023-05-01,335,16
Montana,2023-05-01,171,4
Utah,2023-05-01,77,6
Michigan,2023-05-01,64,2
California,2023-05-01,3,0
Oklahoma,2023-04-01,3729,62
West Virginia,2023-04-01,3682,411
Texas,2023-04-01,3600,98
Pennsylvania,2023-04-01,2137,107
Colorado,2023-04-01,1129,35
Ohio,2023-04-01,1047,73
New Mexico,2023-04-01,696,136
Montana,2023-04-01,497,4
Wyoming,2023-04-01,469,13
North Dakota,2023-04-01,372,8
Louisiana,2023-04-01,199,6
Arkansas,2023-04-01,130,12
Michigan,2023-04-01,59,4
Kansas,2023-04-01,31,2
Mississippi,2023-04-01,27,0
Utah,2023-04-01,6,0
West Virginia,2023-03-01,7784,307
Texas,2023-03-01,5284,223
Oklahoma,2023-03-01,4824,147
Pennsylvania,2023-03-01,2025,57
Colorado,2023-03-01,1599,25
Louisiana,2023-03-01,1492,45
Ohio,2023-03-01,1371,122
Kansas,2023-03-01,859,73
North Dakota,2023-03-01,653,7
Wyoming,2023-03-01,638,6
New Mexico,2023-03-01,507,4
Mississippi,2023-03-01,313,16
Montana,2023-03-01,177,14
Michigan,2023-03-01,135,7
Arkansas,2023-03-01,91,3
Utah,2023-03-01,3,0
California,2023-03-01,2,0
Oklahoma,2023-02-01,4309,51
West Virginia,2023-02-01,4065,188
Texas,2023-02-01,3783,93
Pennsylvania,2023-02-01,1298,18
Ohio,2023-02-01,1001,10
Colorado,2023-02-01,684,20
Mississippi,2023-02-01,624,11
Louisiana,2023-02-01,619,15
North Dakota,2023-02-01,583,3
New Mexico,2023-02-01,428,84
Kansas,2023-02-01,292,22
Wyoming,2023-02-01,239,0
Arkansas,2023-02-01,138,0
Michigan,2023-02-01,14,0
Montana,2023-02-01,7,0
West Virginia,2023-01-01,8037,471
Texas,2023-01-01,5310,152
Oklahoma,2023-01-01,3905,38
Pennsylvania,2023-01-01,1963,39
Ohio,2023-01-01,1303,41
Louisiana,2023-01-01,1109,29
Colorado,2023-01-01,770,49
New Mexico,2023-01-01,509,10
North Dakota,2023-01-01,293,4
Kansas,2023-01-01,285,12
Wyoming,2023-01-01,274,21
Mississippi,2023-01-01,243,2
Arkansas,2023-01-01,215,0
Utah,2023-01-01,98,1
Montana,2023-01-01,34,0
Michigan,2023-01-01,21,1
Texas,2022-12-01,2903,147
Oklahoma,2022-12-01,2814,14
West Virginia,2022-12-01,1944,213
Louisiana,2022-12-01,1411,91
Pennsylvania,2022-12-01,1171,37
North Dakota,2022-12-01,375,5
New Mexico,2022-12-01,369,3
Ohio,2022-12-01,333,8
Colorado,2022-12-01,288,10
Wyoming,2022-12-01,247,5
Arkansas,2022-12-01,123,0
Michigan,2022-12-01,67,0
Kansas,2022-12-01,45,7
Mississippi,2022-12-01,23,1
West Virginia,2022-11-01,12667,618
Texas,2022-11-01,3716,126
Oklahoma,2022-11-01,3240,54
Ohio,2022-11-01,1590,91
Colorado,2022-11-01,1365,72
North Dakota,2022-11-01,711,7
Pennsylvania,2022-11-01,701,15
Wyoming,2022-11-01,677,94
Arkansas,2022-11-01,659,4
Mississippi,2022-11-01,624,38
Louisiana,2022-11-01,611,22
Kansas,2022-11-01,217,17
New Mexico,2022-11-01,141,3
Michigan,2022-11-01,41,0
Utah,2022-11-01,28,0
Montana,2022-11-01,18,0
Pennsylvania,2022-10-01,5991,176
West Virginia,2022-10-01,5755,391
Oklahoma,2022-10-01,5282,120
Texas,2022-10-01,4235,179
Mississippi,2022-10-01,2896,156
Ohio,2022-10-01,2055,81
Louisiana,2022-10-01,1678,37
Kansas,2022-10-01,843,19
North Dakota,2022-10-01,810,30
Montana,2022-10-01,566,13
Wyoming,2022-10-01,552,26
Arkansas,2022-10-01,276,6
Colorado,2022-10-01,202,0
Utah,2022-10-01,142,4
New Mexico,2022-10-01,121,3
Michigan,2022-10-01,93,19
California,2022-10-01,2,0
Texas,2022-09-01,4604,576
North Dakota,2022-09-01,4166,159
Ohio,2022-09-01,3866,126
Oklahoma,2022-09-01,3207,40
Wyoming,2022-09-01,1188,181
Pennsylvania,2022-09-01,953,14
Arkansas,2022-09-01,882,6
Colorado,2022-09-01,205,6
Louisiana,2022-09-01,104,0
New Mexico,2022-09-01,83,4
Kansas,2022-09-01,58,0
Montana,2022-09-01,54,13
Mississippi,2022-09-01,53,0
California,2022-09-01,1,1
Oklahoma,2022-08-01,6398,251
West Virginia,2022-08-01,5367,291
Texas,2022-08-01,4082,266
Ohio,2022-08-01,3922,37
North Dakota,2022-08-01,1577,11
Mississippi,2022-08-01,1185,2
Louisiana,2022-08-01,1145,57
Kansas,2022-08-01,1138,48
Wyoming,2022-08-01,994,15
Colorado,2022-08-01,773,66
Pennsylvania,2022-08-01,400,29
Montana,2022-08-01,356,52
New Mexico,2022-08-01,198,6
Utah,2022-08-01,194,0
Arkansas,2022-08-01,106,7
Michigan,2022-08-01,22,0
Nevada,2022-08-01,18,5
California,2022-08-01,1,1
Texas,2022-07-01,4510,262
Oklahoma,2022-07-01,2743,108
Pennsylvania,2022-07-01,2248,66
Mississippi,2022-07-01,805,15
West Virginia,2022-07-01,651,101
North Dakota,2022-07-01,440,11
Kansas,2022-07-01,414,54
New Mexico,2022-07-01,94,0
Louisiana,2022-07-01,38,4
Arkansas,2022-07-01,5,0
Montana,2022-07-01,2,0
Ohio,2022-07-01,1,1
Texas,2022-06-01,5003,275
West Virginia,2022-06-01,4622,379
Oklahoma,2022-06-01,3580,81
Ohio,2022-06-01,1608,113
North Dakota,2022-06-01,502,18
Pennsylvania,2022-06-01,307,37
Wyoming,2022-06-01,255,0
Colorado,2022-06-01,92,10
New Mexico,2022-06-01,73,17
Montana,2022-06-01,70,0
Louisiana,2022-06-01,49,0
Utah,2022-06-01,18,0
Michigan,2022-06-01,10,0
Mississippi,2022-06-01,2,0
Texas,2022-05-01,4227,242
Oklahoma,2022-05-01,2876,23
West Virginia,2022-05-01,905,139
New Mexico,2022-05-01,272,2
North Dakota,2022-05-01,192,15
Montana,2022-05-01,121,59
Texas,2022-04-01,4363,239
Oklahoma,2022-04-01,2320,68
West Virginia,2022-04-01,1557,42
North Dakota,2022-04-01,625,10
Ohio,2022-04-01,480,27
Montana,2022-04-01,461,51
New Mexico,2022-04-01,350,32
Wyoming,2022-04-01,231,15
Pennsylvania,2022-04-01,146,6
Colorado,2022-04-01,53,2
Mississippi,2022-04-01,42,0
Utah,2022-04-01,20,0
Louisiana,2022-04-01,20,0
Arkansas,2022-04-01,9,0
Michigan,2022-04-01,7,0
Kansas,2022-04-01,3,0
California,2022-04-01,3,3
Ohio,2022-03-01,8549,571
Texas,2022-03-01,5401,355
Mississippi,2022-03-01,4658,159
Wyoming,2022-03-01,3960,126
Oklahoma,2022-03-01,2902,45
Colorado,2022-03-01,1773,106
Montana,2022-03-01,954,53
Arkansas,2022-03-01,877,21
Kansas,2022-03-01,774,56
Pennsylvania,2022-03-01,755,20
Louisiana,2022-03-01,695,18
West Virginia,2022-03-01,659,75
Utah,2022-03-01,552,18
New Mexico,2022-03-01,214,6
Michigan,2022-03-01,199,0
North Dakota,2022-03-01,78,0
California,2022-03-01,34,9
West Virginia,2022-02-01,11941,1489
Ohio,2022-02-01,8857,715
Oklahoma,2022-02-01,6260,205
Pennsylvania,2022-02-01,5166,239
Texas,2022-02-01,3536,299
Louisiana,2022-02-01,2906,81
