recordID,stateAbbreviation,countyName,cstitle_instrument,leaseId,div1_instrument,div1_category,div1_short_text,div1_lease_updated,div1_svg_updated,div1_reason
995fc18f-f9ed-4ddb-a8f7-28a193867820,TX,McMullen,MOGL,4238366,1,6,pipeline,2019-06-19 13:39:41.050,2018-04-11 03:39:06.473,Div1 category <> 2 (not treated as a lease)
995fc18f-f9ed-4ddb-a8f7-28a193867820,TX,McMullen,MOGL,4238366,1,7,Spud,2019-06-19 13:39:41.050,2018-04-11 03:39:06.473,Div1 category <> 2 (not treated as a lease)
995fc18f-f9ed-4ddb-a8f7-28a193867820,TX,McMullen,MOGL,4238366,1,9,Consultant,2019-06-19 13:39:41.050,2018-04-11 03:39:06.473,Div1 category <> 2 (not treated as a lease)
995fc18f-f9ed-4ddb-a8f7-28a193867820,TX,McMullen,MOGL,4238366,1,8,Clerical,2019-06-19 13:39:41.050,2018-04-11 03:39:06.473,Div1 category <> 2 (not treated as a lease)
9dcd0169-ce07-410b-aa25-0d46e22f7cd8,TX,McMullen,OGL,4547898,0,6,unknown,2019-04-03 02:26:31.913,NULL,Div1 category <> 2 (not treated as a lease)
9dcd0169-ce07-410b-aa25-0d46e22f7cd8,TX,McMullen,OGL,4547898,0,10,Not Selected,2019-04-03 02:26:31.913,NULL,Div1 category <> 2 (not treated as a lease)
ab78f977-04dc-48df-aad7-cf296d95e0a8,TX,McMullen,MOGL,4238794,1,10,Prod 88: (Rev. 1-68) w/ 640 Pooling,2018-02-01 00:34:26.410,2018-02-21 15:07:15.267,Div1 category <> 2 (not treated as a lease)
ab78f977-04dc-48df-aad7-cf296d95e0a8,TX,McMullen,MOGL,4238794,1,6,pipeline,2018-02-01 00:34:26.410,2018-02-21 15:07:15.267,Div1 category <> 2 (not treated as a lease)
ab78f977-04dc-48df-aad7-cf296d95e0a8,TX,McMullen,MOGL,4238794,1,7,Spud,2018-02-01 00:34:26.410,2018-02-21 15:07:15.267,Div1 category <> 2 (not treated as a lease)
ab78f977-04dc-48df-aad7-cf296d95e0a8,TX,McMullen,MOGL,4238794,1,9,Consultant,2018-02-01 00:34:26.410,2018-02-21 15:07:15.267,Div1 category <> 2 (not treated as a lease)
ab78f977-04dc-48df-aad7-cf296d95e0a8,TX,McMullen,MOGL,4238794,1,8,Clerical,2018-02-01 00:34:26.410,2018-02-21 15:07:15.267,Div1 category <> 2 (not treated as a lease)
ab78f977-04dc-48df-aad7-cf296d95e0a8,TX,McMullen,MOGL,4238794,1,4,Unknown,2018-02-01 00:34:26.410,2018-02-21 15:07:15.267,Div1 category <> 2 (not treated as a lease)
ab78f977-04dc-48df-aad7-cf296d95e0a8,TX,McMullen,MOGL,4238794,1,5,Oil,2018-02-01 00:34:26.410,2018-02-21 15:07:15.267,Div1 category <> 2 (not treated as a lease)
