Directory,Size_Bytes
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\00a1,1080983
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\00a2,873468
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\00a3,4101483
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\00a4,15419975
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\00a5,13382665
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\00a6,10724871
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\00a7,2852833
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\00a8,954130
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\00a9,7701328
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\00aa,19892843
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\00ab,6556950
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\00ac,21430214
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\00ad,17619250
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\00ae,8246769
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\00af,18825149
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\00b0,623814
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\00b1,7493389
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\00b2,3180125
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\00b3,9794928
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\00b4,101651998
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\00b5,4348306
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\00b6,13695836
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\00b7,1282344
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\00b8,8201056
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\00ba,13861248
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\00bb,4501257
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\00bc,5344780
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\00bd,2295269
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\00be,8286533
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\00bf,2528044
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\00c0,3138955
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\00c1,8548413
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\00c2,8668161
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\00c3,345412
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\00c4,8016141
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\00c5,2318436
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\00c6,36860136
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\00c7,6331808
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\00c8,7846712
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\00c9,7318925
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\00ca,589640
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\00cb,35574207
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\00cc,3444528
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\00cd,2314694
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\00ce,5173468
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\00cf,2881518
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\00d0,17524070
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\00d1,5775534
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\00d2,9860299
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\00d3,4741450
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\00d4,10163644
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\00d5,15487890
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\00d6,19325958
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\00d7,6322064
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\00d8,5613759
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\00d9,6741169
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\00da,18788753
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\00db,6689628
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\00dc,30745148
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\00dd,30431241
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\00de,5165951
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\00df,12826152
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\00e0,8822944
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\00e1,5657867
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\00e2,4217408
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\00e3,5440953
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\00e4,10806103
