RecordID,CountyID,LandDescriptionID,BriefLegal,Subdivision,Lot,Block,AbstractName,AcreageByTract,QuarterCalls,Remarks
f9b5f1c1-b4bc-4de3-b279-dd7731db6917,221,e0e14559-eb37-4965-af44-4da62ffa2562,A-26 BLAKEMORE J 98 25.0000 acres,NULL,NULL,NULL,26,25.0000,NULL,NULL
8957927e-e27d-405b-8a5d-5967f9c3b75b,221,e0e68917-f870-442c-a77f-23c146dc5c02,5.0AC PT SAMUEL RICKER SUR 45,NULL,NULL,NULL,NULL,NULL,NULL,NULL
fa5de028-a7fc-418f-a70d-080b71ea7602,221,e0f3f6ca-1f22-480d-bc9e-90ff3e1d1298,HALE ADDITION G 35,HALE ADDITION,35,G,NULL,NULL,NULL,NULL
e404e448-a041-4288-b0cd-565bd7dd8614,221,e0fc80d3-bc9c-4f88-bc57-3e94c1ccc101,244.54,NULL,NULL,NULL,NULL,NULL,NULL,NULL
f0c5ffa5-6c87-4123-8b0e-a77b94ba4439,221,e0fda0fd-7349-4e05-af64-b3d138195f9f,4901.25,NULL,NULL,NULL,NULL,NULL,NULL,NULL
e8b01d9a-a481-44a4-b77b-cf3128a6314c,221,e0fe26dc-716f-4f57-acf3-2cbcacf2cdff,ELMWOOD WEST ADDITION SECTION 10 D 4,ELMWOOD WEST ADDITION SECTION 10,4,D,NULL,NULL,NULL,NULL
5952afa0-f8a5-4716-b141-c02c8002bcc9,221,e102a95d-e073-4a82-b614-d6dc85c7b99f,233.31,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dceb40af-2775-439e-bedc-ddd8d42a4a83,221,e10b5560-7b99-4ccc-9f03-a08fb322b61d,525.22,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0601c1ec-70ec-48d9-bbee-5f6aa5c5c2cd,221,e1182019-a650-458f-8f2f-b23e9dd20463,TEXAS AND PACIFIC RAILWAY COMPANY 21 1.9300 acres,NULL,NULL,NULL,NULL,1.9300,NULL,NULL
f77fe4f9-1aec-4e7a-baf7-58eb291014b4,221,e11cdab1-ef53-4ee5-b141-fd04220eb4e1,A-636 BERRY B 51 SE 17.1300 acres,NULL,NULL,NULL,636,17.1300,SE,NULL
563d38fc-a549-48f9-a67e-3879993cc574,221,e020a15b-cc49-42b4-a002-7082b62b9a39,BENT TREE SECTION 1 C 36,BENT TREE SECTION 1,36,C,NULL,NULL,NULL,NULL
81cc335f-8fb3-4907-a4ef-3b960f56b412,221,e028fc83-be78-44f2-9bae-ae6d3dc4b98a,SUR 434    WILDER S,NULL,NULL,NULL,NULL,NULL,NULL,NULL
bd20b9f6-c7ab-4009-a50c-5cda59ee9bd7,221,e02d1419-1f2f-4655-80a6-76cc2d1bd25d,HERRING ADDITION 17 0.2200 acres,HERRING ADDITION,17,NULL,NULL,0.2200,NULL,NULL
790f541b-c738-429a-af2f-7e8c433b5559,221,e02f113a-a1ab-4ef3-8406-5b5c0a6a580b,WESTVIEW PARK ADDITION H 29,WESTVIEW PARK ADDITION,29,H,NULL,NULL,NULL,NULL
5d20c4ba-19ee-43dc-b700-4fc44f9853ae,221,e04e3467-5307-4136-9882-0e7b8b6a755a,NORTHWOOD ADDITION SECTION 2 17 2,NORTHWOOD ADDITION SECTION 2,2,17,NULL,NULL,NULL,NULL
c7ef44f9-febb-46ba-9dea-6974e4a050c0,221,e0512051-dc6f-48e4-abdc-f033801ea406,SEE RECORD,NULL,NULL,NULL,NULL,NULL,NULL,NULL
eb90aa22-d50c-402d-b931-92dcdde6e94b,221,e052084f-9a81-425c-9003-e3f675efba4e,POTOSI PRAIRIE ADDITION SECTION 1 H 7 0.6210 acres,POTOSI PRAIRIE ADDITION SECTION 1,7,H,NULL,0.6210,NULL,NULL
568090e5-ed54-4960-bb52-57ffc852a830,221,e0563912-a470-4262-b050-c6fb3f78004d,VOL 4 PAGE 188,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9db64021-ccf3-4e43-a0d5-bc61dab0ecb2,221,e0592e78-2f90-47fb-9df8-2cef1ae46c2c,COUNTRY VILLAGE ADDITION SECTION 1 B 111,COUNTRY VILLAGE ADDITION SECTION 1,111,B,NULL,NULL,NULL,NULL
79c9787b-3ee4-447c-bf0a-25c715fc7fe2,221,e05e4c74-3a75-4978-a800-cf293c3209dd,SCOTT INDUSTRIAL DISTRICT B 102,SCOTT INDUSTRIAL DISTRICT,102,B,NULL,NULL,NULL,NULL
7af02cd4-4a88-4d82-805b-8ef461cb6b4d,221,e061812c-2c5d-457b-ba5b-73be77ed9190,A-122 HOUSTON AND TEXAS CENTRAL RAILWAY COMPANY 223 45.0000 acres,NULL,NULL,NULL,122,45.0000,NULL,NULL
a8f96212-c205-4cb4-8b56-443714fa470f,221,e06d16ae-2ba7-4b88-a5a3-b6d34700af12,116.92,NULL,NULL,NULL,NULL,NULL,NULL,NULL
c8610408-7499-4dcc-b1e7-7a8707c3ac31,221,e07837d5-db5f-4d4f-b02d-8d904bb7eb7b,3683.91,NULL,NULL,NULL,NULL,NULL,NULL,NULL
046e906d-4920-4d9b-ad3d-5b8d7f5bb07d,221,e07ab002-bbc5-42e9-a7c8-cea9cd003a77,RAINY CREEK ADDITION B 14 16.6420 acres,RAINY CREEK ADDITION,14,B,NULL,16.6420,NULL,NULL
ac1c0a7d-08ce-4654-96b4-3e12089dd537,221,e07c370b-adce-4366-a322-13812ea29b5d,HIGHLANDS ADDITION CONTINUATION OF A 9,HIGHLANDS ADDITION CONTINUATION OF,9,A,NULL,NULL,NULL,NULL
c2958bbb-c733-4204-b6cd-27892fe021ab,221,e086acf9-65c6-425e-bd93-55b94a0fec99,OVALO ORIGINAL TOWNSITE OF 69 16,OVALO ORIGINAL TOWNSITE OF,16,69,NULL,NULL,NULL,NULL
22aa0ed8-513c-4a08-bef2-2f200eae8087,221,e0881f61-d6e1-4656-9b62-036cb5e88f50,BAL 63 SE 8.6800 acres,NULL,NULL,NULL,NULL,8.6800,SE,NULL
a5ccfa53-b2d7-4174-a20f-d222add70107,221,e088ba58-e5b8-48b0-b6c1-f30f721e6680,HERITAGE PARKS ADDITION SECTION 11 Q 4,HERITAGE PARKS ADDITION SECTION 11,4,Q,NULL,NULL,NULL,NULL
