recordID,countyName,stateAbbreviation,imageLocation,s3FilePath
6da9c992-3708-4a02-ab64-3f9387331974,CIBOLA,NM,\\smb.dc2isilon.na.drillinginfo.com\County_Scans_Beta\cs_digital\nm\cibola\6da9,s3://enverus-courthouse-prod-chd-plants/nm/cibola/6da9/6da9c992-3708-4a02-ab64-3f9387331974.pdf
6e9c041f-5403-42a1-8015-d4aa0cb73e8a,CIBOLA,NM,\\smb.dc2isilon.na.drillinginfo.com\County_Scans_Beta\cs_digital\nm\cibola\6e9c,s3://enverus-courthouse-prod-chd-plants/nm/cibola/6e9c/6e9c041f-5403-42a1-8015-d4aa0cb73e8a.pdf
75be8a08-aca9-4fc4-bb80-938811d196d3,CIBOLA,NM,\\smb.dc2isilon.na.drillinginfo.com\County_Scans_Beta\cs_digital\nm\cibola\75be,s3://enverus-courthouse-prod-chd-plants/nm/cibola/75be/75be8a08-aca9-4fc4-bb80-938811d196d3.pdf
7660efbc-9c42-4ab8-ad0f-3580fa81ba6b,CIBOLA,NM,\\smb.dc2isilon.na.drillinginfo.com\County_Scans_Beta\cs_digital\nm\cibola\7660,s3://enverus-courthouse-prod-chd-plants/nm/cibola/7660/7660efbc-9c42-4ab8-ad0f-3580fa81ba6b.pdf
7a36baa4-0f6d-4b6d-af3f-66268743b39d,CIBOLA,NM,\\smb.dc2isilon.na.drillinginfo.com\County_Scans_Beta\cs_digital\nm\cibola\7a36,s3://enverus-courthouse-prod-chd-plants/nm/cibola/7a36/7a36baa4-0f6d-4b6d-af3f-66268743b39d.pdf
7ab087f1-c293-470f-9468-32c9f6e046d7,CIBOLA,NM,\\smb.dc2isilon.na.drillinginfo.com\County_Scans_Beta\cs_digital\nm\cibola\7ab0,s3://enverus-courthouse-prod-chd-plants/nm/cibola/7ab0/7ab087f1-c293-470f-9468-32c9f6e046d7.pdf
7bdc6691-2ee9-4189-bf5a-ebe2aaa68686,CIBOLA,NM,\\smb.dc2isilon.na.drillinginfo.com\County_Scans_Beta\cs_digital\nm\cibola\7bdc,s3://enverus-courthouse-prod-chd-plants/nm/cibola/7bdc/7bdc6691-2ee9-4189-bf5a-ebe2aaa68686.pdf
7c94f6c9-3eb9-4ae6-b4c2-32ecc8e56d89,CIBOLA,NM,\\smb.dc2isilon.na.drillinginfo.com\County_Scans_Beta\cs_digital\nm\cibola\7c94,s3://enverus-courthouse-prod-chd-plants/nm/cibola/7c94/7c94f6c9-3eb9-4ae6-b4c2-32ecc8e56d89.pdf
7cdadfaa-dcb1-40fc-8e6e-3c326071fae7,CIBOLA,NM,\\smb.dc2isilon.na.drillinginfo.com\County_Scans_Beta\cs_digital\nm\cibola\7cda,s3://enverus-courthouse-prod-chd-plants/nm/cibola/7cda/7cdadfaa-dcb1-40fc-8e6e-3c326071fae7.pdf
7ce00ec9-12dd-4945-bb35-9cf24eec36c3,CIBOLA,NM,\\smb.dc2isilon.na.drillinginfo.com\County_Scans_Beta\cs_digital\nm\cibola\7ce0,s3://enverus-courthouse-prod-chd-plants/nm/cibola/7ce0/7ce00ec9-12dd-4945-bb35-9cf24eec36c3.pdf
80d6146f-26f0-4c3f-bed3-52c284265570,CIBOLA,NM,\\smb.dc2isilon.na.drillinginfo.com\County_Scans_Beta\cs_digital\nm\cibola\80d6,s3://enverus-courthouse-prod-chd-plants/nm/cibola/80d6/80d6146f-26f0-4c3f-bed3-52c284265570.pdf
82e85f53-6616-48e5-a5f0-878ebd1767c9,CIBOLA,NM,\\smb.dc2isilon.na.drillinginfo.com\County_Scans_Beta\cs_digital\nm\cibola\82e8,s3://enverus-courthouse-prod-chd-plants/nm/cibola/82e8/82e85f53-6616-48e5-a5f0-878ebd1767c9.pdf
840e7729-9cc5-41d6-87ce-3590bcfa3eb2,CIBOLA,NM,\\smb.dc2isilon.na.drillinginfo.com\County_Scans_Beta\cs_digital\nm\cibola\840e,s3://enverus-courthouse-prod-chd-plants/nm/cibola/840e/840e7729-9cc5-41d6-87ce-3590bcfa3eb2.pdf
