RecordID,in_CS_Digital,in_countyScansTitle,in_courthousedirecttitle,verdict
2a38990a-7b7b-4fcc-9a54-9926790da7ee,NO,NO,NO,true_orphan
4f46d1a3-2bb0-4ef7-8ffd-877e589d0dff,NO,NO,NO,true_orphan
7c01ebed-4614-4926-82c8-dccee95093c6,NO,NO,NO,true_orphan
ee25e8c3-b93d-4deb-8bd4-6f377153a02d,NO,NO,NO,true_orphan
c6d09050-8844-4a2e-bdcb-0af790c2ad56,NO,NO,NO,true_orphan
429f5507-d053-47c3-9b1f-e49da561539d,NO,NO,NO,true_orphan
e2ee3a37-4a70-4887-8407-b3f4d585c13c,NO,NO,NO,true_orphan
931f1d4c-1a1a-43b8-bc1f-253b95e41581,NO,NO,NO,true_orphan
6487fb21-3171-4f0d-bf0e-24edcafe8a34,NO,NO,NO,true_orphan
971e370b-ca28-456b-97ae-6d8504c4541d,NO,NO,NO,true_orphan
4ae4cadb-892d-4890-bf0b-7acc218db300,NO,NO,NO,true_orphan
f337d133-fc04-4069-9b83-42cc75c3d202,NO,NO,NO,true_orphan
bbbd99ad-e3d1-402e-82c4-3de949988337,NO,NO,NO,true_orphan
d148d406-027e-403c-bb51-f7df1f00831e,NO,NO,NO,true_orphan
efd114e4-2940-460c-ae25-300790009695,NO,NO,NO,true_orphan
2e3e6bc3-0e60-43a5-a727-728e29f06c0b,NO,NO,NO,true_orphan
60e78e04-9831-4f18-9e03-66bedf7e4b50,NO,NO,NO,true_orphan
519e7279-86e6-4ad3-9880-570eca229f76,NO,NO,NO,true_orphan
622b704d-ea89-464d-9eef-3467eb3210d4,NO,NO,NO,true_orphan
c93e17fd-f122-4c19-b973-63ebaf6e0c6d,NO,NO,NO,true_orphan
4b56ab69-76c1-4ae3-b045-9488dc22db81,NO,NO,NO,true_orphan
43cb2702-ff69-4ca6-9ede-f3d63209b15d,NO,NO,NO,true_orphan
866ce225-6fda-4e6d-85b2-7399b2aa0ee3,NO,NO,NO,true_orphan
8f3b4477-10f8-40fb-a13d-58b68ac2ff73,NO,NO,NO,true_orphan
fb9aaad4-3c45-4e44-b96c-178e74849584,NO,NO,NO,true_orphan
04585be6-6c77-4158-9687-d32dd5e6c516,NO,NO,NO,true_orphan
aa74a407-ec23-4ff8-ac8f-20852c03ba2e,NO,NO,NO,true_orphan
320a003f-5412-44b3-9bbd-e27c433b849a,NO,NO,NO,true_orphan
500b26c7-5d19-492b-96d6-2f2095cb114d,NO,NO,NO,true_orphan
3f1c899f-04b7-4278-ac23-2e448a126682,NO,NO,NO,true_orphan
21d1bba5-2480-4abf-abf8-64d1cfba9224,NO,NO,NO,true_orphan
6ee8081d-b127-4cfd-82b3-135d058105d5,NO,NO,NO,true_orphan
214584d6-1acf-4b4d-bc1a-1c056502e534,NO,NO,NO,true_orphan
05f0894c-30c5-4ae4-aa3a-48ef2b78a926,NO,NO,NO,true_orphan
b809a903-c1a9-4f30-9faa-c0528996e146,NO,NO,NO,true_orphan
c52748f2-476b-43c0-91b2-84f0e7dea056,NO,NO,NO,true_orphan
654c91c3-62d4-433b-b7b7-92e97c4005e2,NO,NO,NO,true_orphan
fc7fdaa6-8dfa-4588-99cf-9b3c1e9397cb,NO,NO,NO,true_orphan
fb9bdd0d-8211-4d92-88ba-82ca809c58ef,NO,NO,NO,true_orphan
96274506-4b77-4d50-b801-e7dd4addcab8,NO,NO,NO,true_orphan
ce452ee8-18a9-4e71-9c53-07447d1c8920,NO,NO,NO,true_orphan
38fbb1e3-27e5-47a2-a8e5-31ffe16e1e64,NO,NO,NO,true_orphan
28a5d55f-2124-4174-93b5-2809e69a3a44,NO,NO,NO,true_orphan
71a9dbcf-d4f1-46e1-b943-f26cc9f01107,NO,NO,NO,true_orphan
047614f8-9445-4b37-b4f5-a782fbcb4d62,NO,NO,NO,true_orphan
38d94303-4636-4e59-8898-da9c5cbd2dae,NO,NO,NO,true_orphan
9c97ab99-a968-4561-a759-e7b4f2f58ba8,NO,NO,NO,true_orphan
3522ffc0-2fae-4c85-8073-d3c12f7447db,NO,NO,NO,true_orphan
bbe0c854-dec0-4770-a0d4-3d9b6ad97764,NO,NO,NO,true_orphan
7bf19b3a-6184-48c2-a27e-2e54ab86df6e,NO,NO,NO,true_orphan
1361805d-71c7-4315-8a36-d48e76308daa,NO,NO,NO,true_orphan
243d176f-1381-45ae-92eb-60881e648043,NO,NO,NO,true_orphan
fc3747e4-8f67-4a0f-8f07-0e4e8c4bed31,NO,NO,NO,true_orphan
f7173ec6-10f1-447b-ad71-0c85834915d8,NO,NO,NO,true_orphan
1350bf05-b278-4b6d-9b63-9105bc9dd345,NO,NO,NO,true_orphan
07838a79-51df-4fd6-976f-d42c0b61d493,NO,NO,NO,true_orphan
44d740a2-b43a-483c-a8ab-3bdd091dc502,NO,NO,NO,true_orphan
f74b95d3-cf13-4c49-a60d-557578d8d6ab,NO,NO,NO,true_orphan
d7898941-c42e-4954-b929-83ae12cd4c94,NO,NO,NO,true_orphan
58d0ec78-641a-46b9-b332-ea9d2bc21ec9,NO,NO,NO,true_orphan
d7005c01-396a-4957-a80d-610175255599,NO,NO,NO,true_orphan
6337a77c-0219-4780-bf2f-c68896d4db90,NO,NO,NO,true_orphan
47a2a83d-0ebf-4b22-bc99-629585096eee,NO,NO,NO,true_orphan
5d09152c-c1a6-49a9-a496-b6d0cbe5c21d,NO,NO,NO,true_orphan
c9b893af-ed7e-455e-8f06-3e25792d16bd,NO,NO,NO,true_orphan
05db35a0-ee7e-427e-bd7f-1882b8ebbda3,NO,NO,NO,true_orphan
75b77478-74e1-4537-b987-bf90bc29c9d5,NO,NO,NO,true_orphan
9d5474f2-6dff-4135-84cc-440d2a3a1c5c,NO,NO,NO,true_orphan
462cb8c5-d963-4b25-97a1-df3837d56baf,NO,NO,NO,true_orphan
191ffdc0-3f62-4b8a-b5fc-1def635e1bb8,NO,NO,NO,true_orphan
2e2d7fee-016d-4c77-a063-9c5e6d300b9f,NO,NO,NO,true_orphan
318c251f-fc44-4ab6-a21b-99f14028967d,NO,NO,NO,true_orphan
dbc21337-2bbe-4035-853c-5e694428629a,NO,NO,NO,true_orphan
a4e7570c-553e-4125-835e-05208086a059,NO,NO,NO,true_orphan
5c7a2d86-4fd7-4497-8194-8b7a07df4d63,NO,NO,NO,true_orphan
42b101bc-54d9-4911-ab83-f38065e80ba6,NO,NO,NO,true_orphan
158c4d3e-c642-41c7-ac3d-34ddf4a72d8b,NO,NO,NO,true_orphan
5fa28ab0-89cb-45a2-894e-3d31ef2a7e28,NO,NO,NO,true_orphan
b7763d40-b4b6-4fea-9067-168a2e4c991d,NO,NO,NO,true_orphan
623ea85a-8d1d-4079-8a06-bd031084939b,NO,NO,NO,true_orphan
abdbd6fc-6423-46bf-bed4-2c183fb09cfc,NO,NO,NO,true_orphan
ef7bd822-a7ad-4633-a813-2a8c796eec19,NO,NO,NO,true_orphan
f89a0582-29c8-464c-98c9-af06ebdda7b2,NO,NO,NO,true_orphan
ec5074e7-171c-4737-8b97-bcbac36358bd,NO,NO,NO,true_orphan
abc4e76a-53a8-4fd7-9487-46e6ac7d9ce8,NO,NO,NO,true_orphan
955a1eac-3ed9-489b-b397-f6593b3f91be,NO,NO,NO,true_orphan
455d8fd2-6c71-4ec6-8c60-8a318778f69f,NO,NO,NO,true_orphan
513f3165-d52b-4451-a292-eafe754408d4,NO,NO,NO,true_orphan
c079ab4a-4a10-4310-98cd-ad05eb9c8c65,NO,NO,NO,true_orphan
1e2a44e3-89c2-4641-beaa-6219a2fe0733,NO,NO,NO,true_orphan
48cad6d1-8275-41ee-83ca-7af5a93ce87f,NO,NO,NO,true_orphan
e4d991d4-80b7-47e0-8a6c-b8686348a89a,NO,NO,NO,true_orphan
fac7d391-ff39-46b9-a0f5-ea435a516630,NO,NO,NO,true_orphan
9a207f03-9007-425f-bc06-b20a1c09f283,NO,NO,NO,true_orphan
3e225c17-b9b6-4157-9551-4ebeb7918921,NO,NO,NO,true_orphan
