RecordID,package_id_1,package_id_2,pkg_count,recordCounty,recordState,recordOriginalFileName,pdf_identity_1,pdf_identity_2,pdf_size_1,pdf_size_2,pdf_etag_1,pdf_etag_2,pkg1_has_ocr,pkg1_has_iie,pkg2_has_ocr,pkg2_has_iie,verdict,keep_package_id,error
e310a9eb-0b25-4b10-9501-e4dff8d5f7b7,c4e9kbqlpbg0009nutq0,c4e9p3211o1g008c02ng,2,RUSK2,TX,00187747,s3://di-diml-platinum-prod/c4e9kbqlpbg0009nutq0/c4e9kbsbq3o000abupig/4400701.pdf,s3://di-diml-platinum-prod/c4e9p3211o1g008c02ng/c4e9p34fjb0000cm09n0/4400701.pdf,333516,333516,f9096ab31fe9ff47dd177f31e3f63d6a,f9096ab31fe9ff47dd177f31e3f63d6a,True,True,True,True,same_pdf,,
e31a6a37-59ee-43e5-b06d-640ce9c2b71c,co8chs3nofvg00bf9hhg,co8chs81277000eg3m30,2,MADISON,TX,00077342,s3://di-diml-platinum-prod/co8chs3nofvg00bf9hhg/co8chs1qkol000a9djj0/e31a6a37-59ee-43e5-b06d-640ce9c2b71c.pdf,s3://di-diml-platinum-prod/co8chs81277000eg3m30/co8chs9miud0009ukqcg/e31a6a37-59ee-43e5-b06d-640ce9c2b71c.pdf,71583,71583,1e8f24ffb3362598c3bc32746bfb8556,1e8f24ffb3362598c3bc32746bfb8556,True,True,True,True,same_pdf,,
e32553f1-3d23-4494-b777-c666eb0c84b0,cogupn81277000ehltdg,cogupn9g8bvg00b5ajv0,2,MADISON,TX,00074369,s3://di-diml-platinum-prod/cogupn81277000ehltdg/cogupn9g8bvg00b5ajug/e32553f1-3d23-4494-b777-c666eb0c84b0.pdf,s3://di-diml-platinum-prod/cogupn9g8bvg00b5ajv0/cogupnbn5d9000e2fu50/e32553f1-3d23-4494-b777-c666eb0c84b0.pdf,46517,46517,ad619011f49af286816c6a18a4ba2e53,ad619011f49af286816c6a18a4ba2e53,True,True,True,True,same_pdf,,
e33b2854-7ec7-444a-a0a8-45c274590993,co8chs9g8bvg00b3t0j0,co8chsei5iag009ucqe0,2,MADISON,TX,00073578,s3://di-diml-platinum-prod/co8chs9g8bvg00b3t0j0/co8chs9jhmbg00ffg8mg/e33b2854-7ec7-444a-a0a8-45c274590993.pdf,s3://di-diml-platinum-prod/co8chsei5iag009ucqe0/co8chsf3r4d000f1v3h0/e33b2854-7ec7-444a-a0a8-45c274590993.pdf,35876,35876,06f4197e8bb7a057490137aaf549de0e,06f4197e8bb7a057490137aaf549de0e,True,True,True,True,same_pdf,,
e33bdae6-ea0d-47ea-97da-e0b45db59cd0,cngl6aovhjtg00d6lc80,cngl6as5646000ceq440,2,UPTON,TX,00149821,s3://di-diml-platinum-prod/cngl6aovhjtg00d6lc80/cngl6arvem1g00ed605g/e33bdae6-ea0d-47ea-97da-e0b45db59cd0.pdf,s3://di-diml-platinum-prod/cngl6as5646000ceq440/cngl6avlrmbg00b1krn0/e33bdae6-ea0d-47ea-97da-e0b45db59cd0.pdf,599744,599744,70d9a427b0023f72cb196467bd534a62,70d9a427b0023f72cb196467bd534a62,True,True,True,True,same_pdf,,
e3496d37-041e-4a8f-9a75-99c4438c3f7c,cech9ghpr5lg00cdko40,cecherbtr21000f4mdng,2,NULL,NULL,NULL,s3://di-diml-platinum-prod/cech9ghpr5lg00cdko40/cech9glcpqj000e6f620/4879734.pdf,s3://di-diml-platinum-prod/cecherbtr21000f4mdng/cecherc4op8000db5p50/4879734.pdf,221006,221006,de4350dcc94ebdfa5e0d0eb082e7371d,de4350dcc94ebdfa5e0d0eb082e7371d,True,True,True,True,same_pdf,,
e357fe43-1e96-4b02-a254-c3d1cac9f5e2,cogupneudun000eiip6g,cogupniase3000bmpmc0,2,MADISON,TX,00076077,s3://di-diml-platinum-prod/cogupneudun000eiip6g/cogupna8kqpg00at129g/e357fe43-1e96-4b02-a254-c3d1cac9f5e2.pdf,s3://di-diml-platinum-prod/cogupniase3000bmpmc0/cogupnl7tiqg00aq3otg/e357fe43-1e96-4b02-a254-c3d1cac9f5e2.pdf,56292,56292,9a90a9503d075e1347acb35cfc7de07d,9a90a9503d075e1347acb35cfc7de07d,True,True,True,True,same_pdf,,
e37b1ca2-c4d5-49c8-a7c7-62dbbe1fe416,coabrmk5646000cji0u0,coabrmlqk3gg00cghc1g,2,MADISON,TX,00075852,s3://di-diml-platinum-prod/coabrmk5646000cji0u0/coabrmnlrmbg00b6etug/e37b1ca2-c4d5-49c8-a7c7-62dbbe1fe416.pdf,s3://di-diml-platinum-prod/coabrmlqk3gg00cghc1g/coabrmn9iisg009ucetg/e37b1ca2-c4d5-49c8-a7c7-62dbbe1fe416.pdf,375577,375577,332427463539afe25d0bbb917adbafec,332427463539afe25d0bbb917adbafec,True,True,True,True,same_pdf,,
e37c8547-0794-4dbd-a20c-76430ca1021a,coabqsvlrmbg00b6etsg,coabqt79iisg009ucerg,2,HOUSTON,TX,1205344,s3://di-diml-platinum-prod/coabqsvlrmbg00b6etsg/coabqsuudun000eha2q0/e37c8547-0794-4dbd-a20c-76430ca1021a.pdf,s3://di-diml-platinum-prod/coabqt79iisg009ucerg/coabqt2ase3000blguq0/e37c8547-0794-4dbd-a20c-76430ca1021a.pdf,67411,67411,4eb7c48bbb82dcdfe63170c7460c60e5,4eb7c48bbb82dcdfe63170c7460c60e5,True,True,True,True,same_pdf,,
e3844d8c-4abb-4c60-8fbe-87830bb72530,cf8c7npeff7g00av1q2g,cf8c7npqn33g00fs5t00,2,NULL,NULL,NULL,s3://di-diml-platinum-prod/cf8c7npeff7g00av1q2g/cf8c7nqac3n000enef80/4895337.pdf,s3://di-diml-platinum-prod/cf8c7npqn33g00fs5t00/cf8c7ns4op8000ddu150/4895337.pdf,105483,105483,9a789cf9338b5e677f4cb9f768935117,9a789cf9338b5e677f4cb9f768935117,True,True,True,True,same_pdf,,
